,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%)
"1995","01","오세아니아","뉴질랜드","364","0.14","185","0.11","8","0.06","1","0.05","1","0.19","169","0.22"
"1995","01","오세아니아","오세아니아 기타","120","0.05","28","0.02","3","0.02","2","0.09","0","0.00","87","0.11"
"1995","01","오세아니아 소계","","2,106","0.81","1,236","0.74","120","0.94","13","0.60","14","2.70","723","0.93"
"1995","01","아프리카","남아프리카공화국","100","0.04","43","0.03","8","0.06","0","0.00","0","0.00","49","0.06"
"1995","01","아프리카","아프리카 기타","923","0.35","206","0.12","90","0.71","5","0.23","4","0.77","618","0.79"
"1995","01","아프리카 소계","","1,023","0.39","249","0.15","98","0.77","5","0.23","4","0.77","667","0.85"
"1995","01","기타","국적미상","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"1995","01","기타 소계","","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"1995","01","교포","교포","24,679","9.46","0","0.00","0","0.00","0","0.00","0","0.00","24,679","31.60"
"1995","01","교포 소계","","24,679","9.46","0","0.00","0","0.00","0","0.00","0","0.00","24,679","31.60"
"1995","01 소계","","","260,834","100.00","167,307","100.00","12,740","100.00","2,180","100.00","519","100.00","78,088","100.00"
"1995","02","아시아","중국","11,903","4.36","1,813","1.00","1,888","12.53","153","8.22","80","11.17","7,969","10.69"
"1995","02","아시아","일본","115,998","42.52","106,449","58.95","6,855","45.50","114","6.13","245","34.22","2,335","3.13"
"1995","02","아시아","대만","16,685","6.12","15,911","8.81","26","0.17","7","0.38","36","5.03","705","0.95"
"1995","02","아시아","홍콩","13,604","4.99","13,074","7.24","38","0.25","0","0.00","0","0.00","492","0.66"
"1995","02","아시아","필리핀","12,375","4.54","1,436","0.80","234","1.55","33","1.77","8","1.12","10,664","14.30"
