,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%)
"2002","02","아프리카 소계","","1,165","0.29","480","0.17","304","2.23","12","0.53","12","0.55","357","0.40"
"2002","02","기타","국적미상","59","0.01","56","0.02","0","0.00","1","0.04","0","0.00","2","0.00"
"2002","02","기타 소계","","59","0.01","56","0.02","0","0.00","1","0.04","0","0.00","2","0.00"
"2002","02","교포","교포","21,878","5.53","0","0.00","0","0.00","0","0.00","0","0.00","21,878","24.32"
"2002","02","교포 소계","","21,878","5.53","0","0.00","0","0.00","0","0.00","0","0.00","21,878","24.32"
"2002","02 소계","","","395,402","100.00","287,423","100.00","13,603","100.00","2,243","100.00","2,167","100.00","89,966","100.00"
"2002","03","아시아","중국","38,929","8.66","13,950","4.28","6,959","40.80","94","4.43","980","53.91","16,946","16.56"
"2002","03","아시아","일본","214,234","47.66","207,837","63.73","3,061","17.95","162","7.64","427","23.49","2,747","2.68"
"2002","03","아시아","대만","10,419","2.32","9,737","2.99","34","0.20","5","0.24","22","1.21","621","0.61"
"2002","03","아시아","홍콩","14,256","3.17","13,400","4.11","48","0.28","0","0.00","6","0.33","802","0.78"
"2002","03","아시아","필리핀","18,574","4.13","3,430","1.05","453","2.66","41","1.93","8","0.44","14,642","14.31"
"2002","03","아시아","인도네시아","4,337","0.96","2,259","0.69","109","0.64","27","1.27","15","0.83","1,927","1.88"
"2002","03","아시아","태국","6,022","1.34","3,714","1.14","6","0.04","41","1.93","9","0.50","2,252","2.20"
"2002","03","아시아","베트남","1,594","0.35","620","0.19","81","0.47","3","0.14","31","1.71","859","0.84"
"2002","03","아시아","인도","4,152","0.92","937","0.29","993","5.82","21","0.99","14","0.77","2,187","2.14"
"2002","03","아시아","말레이시아","5,029","1.12","3,352","1.03","35","0.21","31","1.46","5","0.28","1,606","1.57"
"2002","03","아시아","싱가포르","5,474","1.22","3,951","1.21","22","0.13","1","0.05","3","0.17","1,497","1.46"
"2002","03","아시아","몽골","650","0.14","517","0.16","31","0.18","10","0.47","30","1.65","62","0.06"
"2002","03","아시아","우즈베키스탄","1,094","0.24","884","0.27","11","0.06","0","0.00","12","0.66","187","0.18"
"2002","03","아시아","미얀마","2,551","0.57","262","0.08","26","0.15","4","0.19","6","0.33","2,253","2.20"
"2002","03","아시아","GCC","158","0.04","96","0.03","54","0.32","5","0.24","0","0.00","3","0.00"
"2002","03","아시아","카자흐스탄","163","0.04","76","0.02","16","0.09","6","0.28","5","0.28","60","0.06"
"2002","03","아시아","터키","516","0.11","190","0.06","8","0.05","1","0.05","2","0.11","315","0.31"
"2002","03","아시아","캄보디아","87","0.02","15","0.00","49","0.29","22","1.04","1","0.06","0","0.00"
"2002","03","아시아","스리랑카","187","0.04","35","0.01","54","0.32","1","0.05","8","0.44","89","0.09"
"2002","03","아시아","방글라데시","538","0.12","301","0.09","41","0.24","5","0.24","4","0.22","187","0.18"
"2002","03","아시아","파키스탄","744","0.17","89","0.03","253","1.48","7","0.33","18","0.99","377","0.37"
"2002","03","아시아","이스라엘","501","0.11","429","0.13","8","0.05","0","0.00","1","0.06","63","0.06"
"2002","03","아시아","이란","497","0.11","55","0.02","181","1.06","2","0.09","2","0.11","257","0.25"
"2002","03","아시아","아시아 기타","722","0.16","296","0.09","233","1.37","39","1.84","10","0.55","144","0.14"
"2002","03","아시아 소계","","331,428","73.73","266,432","81.69","12,766","74.84","528","24.89","1,619","89.05","50,083","48.94"
"2002","03","아메리카","미국","37,001","8.23","27,985","8.58","2,137","12.53","1,486","70.06","40","2.20","5,353","5.23"
"2002","03","아메리카","캐나다","5,388","1.20","3,968","1.22","80","0.47","3","0.14","4","0.22","1,333","1.30"
"2002","03","아메리카","브라질","425","0.09","253","0.08","15","0.09","1","0.05","2","0.11","154","0.15"
"2002","03","아메리카","멕시코","501","0.11","397","0.12","7","0.04","0","0.00","2","0.11","95","0.09"
"2002","03","아메리카","아메리카 기타","965","0.21","737","0.23","16","0.09","8","0.38","9","0.50","195","0.19"
"2002","03","아메리카 소계","","44,280","9.85","33,340","10.22","2,255","13.22","1,498","70.63","57","3.14","7,130","6.97"
"2002","03","유럽","러시아","12,369","2.75","3,618","1.11","404","2.37","15","0.71","39","2.15","8,293","8.10"
"2002","03","유럽","영국","5,468","1.22","4,467","1.37","207","1.21","1","0.05","6","0.33","787","0.77"
"2002","03","유럽","독일","5,089","1.13","3,974","1.22","181","1.06","7","0.33","15","0.83","912","0.89"
"2002","03","유럽","프랑스","3,336","0.74","2,384","0.73","200","1.17","26","1.23","10","0.55","716","0.70"
"2002","03","유럽","이탈리아","1,209","0.27","1,100","0.34","14","0.08","6","0.28","3","0.17","86","0.08"
"2002","03","유럽","네덜란드","1,276","0.28","865","0.27","38","0.22","1","0.05","5","0.28","367","0.36"
"2002","03","유럽","우크라이나","1,585","0.35","308","0.09","17","0.10","2","0.09","5","0.28","1,253","1.22"
"2002","03","유럽","스페인","384","0.09","320","0.10","16","0.09","2","0.09","0","0.00","46","0.04"
"2002","03","유럽","루마니아","451","0.10","92","0.03","2","0.01","0","0.00","1","0.06","356","0.35"
"2002","03","유럽","노르웨이","679","0.15","452","0.14","42","0.25","0","0.00","0","0.00","185","0.18"
"2002","03","유럽","스웨덴","713","0.16","614","0.19","34","0.20","3","0.14","1","0.06","61","0.06"
"2002","03","유럽","폴란드","714","0.16","232","0.07","4","0.02","0","0.00","2","0.11","476","0.47"
"2002","03","유럽","스위스","549","0.12","493","0.15","24","0.14","1","0.05","1","0.06","30","0.03"
"2002","03","유럽","포르투갈","363","0.08","349","0.11","2","0.01","0","0.00","0","0.00","12","0.01"
"2002","03","유럽","오스트리아","364","0.08","313","0.10","4","0.02","1","0.05","0","0.00","46","0.04"
"2002","03","유럽","핀란드","279","0.06","256","0.08","9","0.05","0","0.00","3","0.17","11","0.01"
"2002","03","유럽","벨기에","486","0.11","396","0.12","11","0.06","0","0.00","0","0.00","79","0.08"
"2002","03","유럽","크로아티아","546","0.12","89","0.03","2","0.01","0","0.00","0","0.00","455","0.44"
"2002","03","유럽","그리스","788","0.18","302","0.09","24","0.14","0","0.00","0","0.00","462","0.45"
"2002","03","유럽","불가리아","686","0.15","114","0.03","2","0.01","1","0.05","2","0.11","567","0.55"
"2002","03","유럽","덴마크","577","0.13","445","0.14","15","0.09","0","0.00","1","0.06","116","0.11"
"2002","03","유럽","아일랜드","289","0.06","214","0.07","9","0.05","0","0.00","0","0.00","66","0.06"
"2002","03","유럽","유럽 기타","994","0.22","529","0.16","16","0.09","0","0.00","7","0.39","442","0.43"
"2002","03","유럽 소계","","39,194","8.72","21,926","6.72","1,277","7.49","66","3.11","101","5.56","15,824","15.46"
"2002","03","오세아니아","오스트레일리아","3,823","0.85","2,857","0.88","266","1.56","12","0.57","21","1.16","667","0.65"
"2002","03","오세아니아","뉴질랜드","1,032","0.23","766","0.23","16","0.09","2","0.09","1","0.06","247","0.24"
"2002","03","오세아니아","오세아니아 기타","257","0.06","77","0.02","1","0.01","0","0.00","1","0.06","178","0.17"
"2002","03","오세아니아 소계","","5,112","1.14","3,700","1.13","283","1.66","14","0.66","23","1.27","1,092","1.07"
"2002","03","아프리카","남아프리카공화국","431","0.10","193","0.06","7","0.04","3","0.14","0","0.00","228","0.22"
"2002","03","아프리카","아프리카 기타","1,153","0.26","490","0.15","465","2.73","9","0.42","18","0.99","171","0.17"
"2002","03","아프리카 소계","","1,584","0.35","683","0.21","472","2.77","12","0.57","18","0.99","399","0.39"
"2002","03","기타","국적미상","73","0.02","65","0.02","4","0.02","3","0.14","0","0.00","1","0.00"
"2002","03","기타 소계","","73","0.02","65","0.02","4","0.02","3","0.14","0","0.00","1","0.00"
"2002","03","교포","교포","27,816","6.19","0","0.00","0","0.00","0","0.00","0","0.00","27,816","27.18"
"2002","03","교포 소계","","27,816","6.19","0","0.00","0","0.00","0","0.00","0","0.00","27,816","27.18"
"2002","03 소계","","","449,487","100.00","326,146","100.00","17,057","100.00","2,121","100.00","1,818","100.00","102,345","100.00"
"2002","04","아시아","중국","41,251","9.29","17,864","5.74","6,573","38.20","129","4.01","345","49.22","16,340","14.61"
"2002","04","아시아","일본","184,718","41.58","178,355","57.29","3,125","18.16","87","2.70","198","28.25","2,953","2.64"
"2002","04","아시아","대만","10,653","2.40","9,993","3.21","24","0.14","6","0.19","9","1.28","621","0.56"
"2002","04","아시아","홍콩","10,268","2.31","9,428","3.03","40","0.23","0","0.00","4","0.57","796","0.71"
"2002","04","아시아","필리핀","18,683","4.21","3,232","1.04","382","2.22","75","2.33","4","0.57","14,990","13.40"
"2002","04","아시아","인도네시아","4,749","1.07","2,246","0.72","75","0.44","25","0.78","4","0.57","2,399","2.15"
"2002","04","아시아","태국","8,980","2.02","6,478","2.08","9","0.05","52","1.61","2","0.29","2,439","2.18"
"2002","04","아시아","베트남","1,900","0.43","836","0.27","90","0.52","8","0.25","20","2.85","946","0.85"
"2002","04","아시아","인도","4,439","1.00","1,054","0.34","1,105","6.42","11","0.34","2","0.29","2,267","2.03"
"2002","04","아시아","말레이시아","7,234","1.63","5,466","1.76","19","0.11","6","0.19","4","0.57","1,739","1.56"
"2002","04","아시아","싱가포르","5,882","1.32","4,325","1.39","17","0.10","2","0.06","1","0.14","1,537","1.37"
"2002","04","아시아","몽골","563","0.13","463","0.15","70","0.41","8","0.25","5","0.71","17","0.02"
"2002","04","아시아","우즈베키스탄","1,441","0.32","808","0.26","14","0.08","0","0.00","4","0.57","615","0.55"
"2002","04","아시아","미얀마","2,710","0.61","179","0.06","15","0.09","8","0.25","1","0.14","2,507","2.24"
"2002","04","아시아","GCC","233","0.05","103","0.03","43","0.25","69","2.14","0","0.00","18","0.02"
"2002","04","아시아","카자흐스탄","231","0.05","132","0.04","35","0.20","4","0.12","1","0.14","59","0.05"
"2002","04","아시아","터키","549","0.12","280","0.09","4","0.02","2","0.06","1","0.14","262","0.23"
"2002","04","아시아","캄보디아","96","0.02","36","0.01","31","0.18","19","0.59","0","0.00","10","0.01"
"2002","04","아시아","스리랑카","312","0.07","141","0.05","58","0.34","6","0.19","6","0.86","101","0.09"
"2002","04","아시아","방글라데시","626","0.14","370","0.12","50","0.29","2","0.06","1","0.14","203","0.18"
"2002","04","아시아","파키스탄","691","0.16","84","0.03","283","1.64","7","0.22","5","0.71","312","0.28"
"2002","04","아시아","이스라엘","456","0.10","386","0.12","6","0.03","0","0.00","1","0.14","63","0.06"
"2002","04","아시아","이란","561","0.13","53","0.02","208","1.21","5","0.16","2","0.29","293","0.26"
"2002","04","아시아","아시아 기타","888","0.20","348","0.11","238","1.38","59","1.83","2","0.29","241","0.22"
"2002","04","아시아 소계","","308,114","69.36","242,660","77.95","12,514","72.73","590","18.32","622","88.73","51,728","46.26"
"2002","04","아메리카","미국","42,950","9.67","32,220","10.35","2,307","13.41","2,433","75.56","21","3.00","5,969","5.34"
"2002","04","아메리카","캐나다","6,170","1.39","4,781","1.54","88","0.51","5","0.16","7","1.00","1,289","1.15"
"2002","04","아메리카","브라질","470","0.11","299","0.10","27","0.16","2","0.06","1","0.14","141","0.13"
"2002","04","아메리카","멕시코","675","0.15","522","0.17","31","0.18","0","0.00","0","0.00","122","0.11"
"2002","04","아메리카","아메리카 기타","1,173","0.26","744","0.24","30","0.17","11","0.34","0","0.00","388","0.35"
"2002","04","아메리카 소계","","51,438","11.58","38,566","12.39","2,483","14.43","2,451","76.12","29","4.14","7,909","7.07"
"2002","04","유럽","러시아","18,982","4.27","5,164","1.66","478","2.78","36","1.12","12","1.71","13,292","11.89"
"2002","04","유럽","영국","5,713","1.29","4,617","1.48","222","1.29","2","0.06","1","0.14","871","0.78"
"2002","04","유럽","독일","5,484","1.23","4,165","1.34","177","1.03","17","0.53","13","1.85","1,112","0.99"
"2002","04","유럽","프랑스","3,476","0.78","2,579","0.83","236","1.37","20","0.62","8","1.14","633","0.57"
"2002","04","유럽","이탈리아","1,519","0.34","1,319","0.42","24","0.14","9","0.28","2","0.29","165","0.15"
"2002","04","유럽","네덜란드","1,412","0.32","985","0.32","27","0.16","1","0.03","0","0.00","399","0.36"
"2002","04","유럽","우크라이나","1,601","0.36","313","0.10","9","0.05","1","0.03","0","0.00","1,278","1.14"
"2002","04","유럽","스페인","512","0.12","424","0.14","15","0.09","2","0.06","0","0.00","71","0.06"
"2002","04","유럽","루마니아","388","0.09","119","0.04","0","0.00","0","0.00","1","0.14","268","0.24"
"2002","04","유럽","노르웨이","835","0.19","463","0.15","45","0.26","2","0.06","0","0.00","325","0.29"
"2002","04","유럽","스웨덴","722","0.16","592","0.19","33","0.19","10","0.31","0","0.00","87","0.08"
"2002","04","유럽","폴란드","877","0.20","293","0.09","5","0.03","0","0.00","1","0.14","578","0.52"
"2002","04","유럽","스위스","633","0.14","597","0.19","17","0.10","0","0.00","0","0.00","19","0.02"
"2002","04","유럽","포르투갈","287","0.06","250","0.08","10","0.06","0","0.00","2","0.29","25","0.02"
"2002","04","유럽","오스트리아","494","0.11","408","0.13","11","0.06","2","0.06","1","0.14","72","0.06"
"2002","04","유럽","핀란드","401","0.09","342","0.11","17","0.10","0","0.00","2","0.29","40","0.04"
"2002","04","유럽","벨기에","518","0.12","399","0.13","17","0.10","0","0.00","0","0.00","102","0.09"
"2002","04","유럽","크로아티아","497","0.11","131","0.04","5","0.03","0","0.00","1","0.14","360","0.32"
"2002","04","유럽","그리스","797","0.18","361","0.12","10","0.06","4","0.12","0","0.00","422","0.38"
"2002","04","유럽","불가리아","760","0.17","137","0.04","2","0.01","2","0.06","0","0.00","619","0.55"
"2002","04","유럽","덴마크","729","0.16","480","0.15","26","0.15","0","0.00","1","0.14","222","0.20"
"2002","04","유럽","아일랜드","300","0.07","213","0.07","5","0.03","0","0.00","0","0.00","82","0.07"
"2002","04","유럽","유럽 기타","1,206","0.27","492","0.16","25","0.15","2","0.06","1","0.14","686","0.61"
"2002","04","유럽 소계","","48,143","10.84","24,843","7.98","1,416","8.23","110","3.42","46","6.56","21,728","19.43"
"2002","04","오세아니아","오스트레일리아","4,384","0.99","3,427","1.10","247","1.44","30","0.93","2","0.29","678","0.61"
"2002","04","오세아니아","뉴질랜드","1,123","0.25","867","0.28","16","0.09","0","0.00","1","0.14","239","0.21"
"2002","04","오세아니아","오세아니아 기타","324","0.07","80","0.03","1","0.01","0","0.00","0","0.00","243","0.22"
"2002","04","오세아니아 소계","","5,831","1.31","4,374","1.41","264","1.53","30","0.93","3","0.43","1,160","1.04"
"2002","04","아프리카","남아프리카공화국","342","0.08","185","0.06","15","0.09","1","0.03","0","0.00","141","0.13"
"2002","04","아프리카","아프리카 기타","1,350","0.30","611","0.20","512","2.98","38","1.18","1","0.14","188","0.17"
"2002","04","아프리카 소계","","1,692","0.38","796","0.26","527","3.06","39","1.21","1","0.14","329","0.29"
"2002","04","기타","국적미상","84","0.02","67","0.02","1","0.01","0","0.00","0","0.00","16","0.01"
"2002","04","기타 소계","","84","0.02","67","0.02","1","0.01","0","0.00","0","0.00","16","0.01"
"2002","04","교포","교포","28,954","6.52","0","0.00","0","0.00","0","0.00","0","0.00","28,954","25.89"
"2002","04","교포 소계","","28,954","6.52","0","0.00","0","0.00","0","0.00","0","0.00","28,954","25.89"
"2002","04 소계","","","444,256","100.00","311,306","100.00","17,205","100.00","3,220","100.00","701","100.00","111,824","100.00"
"2002","05","아시아","중국","42,326","9.68","18,066","5.85","6,410","37.38","180","6.35","199","39.72","17,471","16.15"
"2002","05","아시아","일본","177,484","40.58","170,947","55.38","3,083","17.98","127","4.48","149","29.74","3,178","2.94"
"2002","05","아시아","대만","9,377","2.14","8,773","2.84","25","0.15","0","0.00","4","0.80","575","0.53"
"2002","05","아시아","홍콩","11,450","2.62","10,526","3.41","45","0.26","1","0.04","4","0.80","874","0.81"
"2002","05","아시아","필리핀","19,397","4.44","3,369","1.09","353","2.06","55","1.94","7","1.40","15,613","14.43"
"2002","05","아시아","인도네시아","5,196","1.19","2,410","0.78","129","0.75","27","0.95","1","0.20","2,629","2.43"
"2002","05","아시아","태국","6,597","1.51","4,183","1.36","12","0.07","59","2.08","2","0.40","2,341","2.16"
"2002","05","아시아","베트남","1,721","0.39","765","0.25","135","0.79","14","0.49","3","0.60","804","0.74"
"2002","05","아시아","인도","4,603","1.05","1,385","0.45","1,063","6.20","23","0.81","5","1.00","2,127","1.97"
"2002","05","아시아","말레이시아","6,577","1.50","4,633","1.50","29","0.17","6","0.21","4","0.80","1,905","1.76"
"2002","05","아시아","싱가포르","5,914","1.35","4,377","1.42","26","0.15","0","0.00","0","0.00","1,511","1.40"
"2002","05","아시아","몽골","652","0.15","500","0.16","76","0.44","6","0.21","8","1.60","62","0.06"
"2002","05","아시아","우즈베키스탄","572","0.13","390","0.13","2","0.01","1","0.04","1","0.20","178","0.16"
"2002","05","아시아","미얀마","3,188","0.73","215","0.07","27","0.16","19","0.67","0","0.00","2,927","2.71"
"2002","05","아시아","GCC","329","0.08","182","0.06","65","0.38","32","1.13","2","0.40","48","0.04"
"2002","05","아시아","카자흐스탄","223","0.05","111","0.04","61","0.36","4","0.14","1","0.20","46","0.04"
"2002","05","아시아","터키","784","0.18","524","0.17","6","0.03","0","0.00","1","0.20","253","0.23"
"2002","05","아시아","캄보디아","77","0.02","19","0.01","32","0.19","18","0.64","5","1.00","3","0.00"
"2002","05","아시아","스리랑카","332","0.08","92","0.03","86","0.50","3","0.11","4","0.80","147","0.14"
"2002","05","아시아","방글라데시","546","0.12","381","0.12","54","0.31","1","0.04","1","0.20","109","0.10"
"2002","05","아시아","파키스탄","617","0.14","112","0.04","264","1.54","5","0.18","6","1.20","230","0.21"
"2002","05","아시아","이스라엘","624","0.14","542","0.18","7","0.04","0","0.00","0","0.00","75","0.07"
"2002","05","아시아","이란","654","0.15","84","0.03","309","1.80","1","0.04","2","0.40","258","0.24"
"2002","05","아시아","아시아 기타","977","0.22","458","0.15","225","1.31","54","1.91","1","0.20","239","0.22"
"2002","05","아시아 소계","","300,217","68.65","233,044","75.50","12,524","73.03","636","22.45","410","81.84","53,603","49.55"
"2002","05","아메리카","미국","42,817","9.79","32,836","10.64","2,222","12.96","2,017","71.20","39","7.78","5,703","5.27"
"2002","05","아메리카","캐나다","5,910","1.35","4,613","1.49","85","0.50","3","0.11","6","1.20","1,203","1.11"
"2002","05","아메리카","브라질","1,177","0.27","700","0.23","49","0.29","0","0.00","1","0.20","427","0.39"
"2002","05","아메리카","멕시코","978","0.22","752","0.24","21","0.12","2","0.07","0","0.00","203","0.19"
"2002","05","아메리카","아메리카 기타","2,392","0.55","2,089","0.68","34","0.20","8","0.28","4","0.80","257","0.24"
"2002","05","아메리카 소계","","53,274","12.18","40,990","13.28","2,411","14.06","2,030","71.66","50","9.98","7,793","7.20"
"2002","05","유럽","러시아","13,600","3.11","3,939","1.28","434","2.53","41","1.45","10","2.00","9,176","8.48"
"2002","05","유럽","영국","6,654","1.52","5,607","1.82","226","1.32","1","0.04","3","0.60","817","0.76"
"2002","05","유럽","독일","5,391","1.23","4,024","1.30","175","1.02","1","0.04","8","1.60","1,183","1.09"
"2002","05","유럽","프랑스","6,176","1.41","5,044","1.63","259","1.51","21","0.74","6","1.20","846","0.78"
"2002","05","유럽","이탈리아","1,524","0.35","1,349","0.44","18","0.10","8","0.28","0","0.00","149","0.14"
"2002","05","유럽","네덜란드","1,439","0.33","1,022","0.33","39","0.23","0","0.00","1","0.20","377","0.35"
"2002","05","유럽","우크라이나","1,578","0.36","259","0.08","12","0.07","2","0.07","1","0.20","1,304","1.21"
"2002","05","유럽","스페인","892","0.20","765","0.25","16","0.09","1","0.04","0","0.00","110","0.10"
"2002","05","유럽","루마니아","452","0.10","114","0.04","6","0.03","0","0.00","1","0.20","331","0.31"
"2002","05","유럽","노르웨이","587","0.13","388","0.13","36","0.21","4","0.14","0","0.00","159","0.15"
"2002","05","유럽","스웨덴","750","0.17","588","0.19","38","0.22","2","0.07","2","0.40","120","0.11"
"2002","05","유럽","폴란드","1,082","0.25","387","0.13","11","0.06","0","0.00","0","0.00","684","0.63"
"2002","05","유럽","스위스","710","0.16","675","0.22","12","0.07","0","0.00","0","0.00","23","0.02"
"2002","05","유럽","포르투갈","419","0.10","347","0.11","2","0.01","2","0.07","0","0.00","68","0.06"
"2002","05","유럽","오스트리아","388","0.09","302","0.10","9","0.05","0","0.00","0","0.00","77","0.07"
"2002","05","유럽","핀란드","413","0.09","351","0.11","17","0.10","1","0.04","2","0.40","42","0.04"
"2002","05","유럽","벨기에","520","0.12","429","0.14","16","0.09","0","0.00","0","0.00","75","0.07"
"2002","05","유럽","크로아티아","828","0.19","145","0.05","8","0.05","0","0.00","0","0.00","675","0.62"
"2002","05","유럽","그리스","862","0.20","278","0.09","18","0.10","1","0.04","0","0.00","565","0.52"
"2002","05","유럽","불가리아","788","0.18","95","0.03","1","0.01","1","0.04","0","0.00","691","0.64"
"2002","05","유럽","덴마크","1,110","0.25","989","0.32","27","0.16","0","0.00","1","0.20","93","0.09"
"2002","05","유럽","아일랜드","384","0.09","323","0.10","8","0.05","3","0.11","0","0.00","50","0.05"
"2002","05","유럽","유럽 기타","1,760","0.40","955","0.31","22","0.13","2","0.07","0","0.00","781","0.72"
"2002","05","유럽 소계","","48,307","11.05","28,375","9.19","1,410","8.22","91","3.21","35","6.99","18,396","17.00"
"2002","05","오세아니아","오스트레일리아","4,450","1.02","3,475","1.13","281","1.64","15","0.53","2","0.40","677","0.63"
"2002","05","오세아니아","뉴질랜드","1,169","0.27","928","0.30","16","0.09","1","0.04","0","0.00","224","0.21"
"2002","05","오세아니아","오세아니아 기타","290","0.07","79","0.03","5","0.03","4","0.14","0","0.00","202","0.19"
"2002","05","오세아니아 소계","","5,909","1.35","4,482","1.45","302","1.76","20","0.71","2","0.40","1,103","1.02"
"2002","05","아프리카","남아프리카공화국","830","0.19","551","0.18","31","0.18","4","0.14","1","0.20","243","0.22"
"2002","05","아프리카","아프리카 기타","1,838","0.42","1,149","0.37","472","2.75","51","1.80","3","0.60","163","0.15"
"2002","05","아프리카 소계","","2,668","0.61","1,700","0.55","503","2.93","55","1.94","4","0.80","406","0.38"
"2002","05","기타","국적미상","67","0.02","66","0.02","0","0.00","1","0.04","0","0.00","0","0.00"
"2002","05","기타 소계","","67","0.02","66","0.02","0","0.00","1","0.04","0","0.00","0","0.00"
"2002","05","교포","교포","26,885","6.15","0","0.00","0","0.00","0","0.00","0","0.00","26,885","24.85"
"2002","05","교포 소계","","26,885","6.15","0","0.00","0","0.00","0","0.00","0","0.00","26,885","24.85"
"2002","05 소계","","","437,327","100.00","308,657","100.00","17,150","100.00","2,833","100.00","501","100.00","108,186","100.00"
"2002","06","아시아","중국","61,256","15.18","35,107","12.37","6,684","42.08","159","6.16","223","32.04","19,083","18.99"
"2002","06","아시아","일본","124,826","30.94","119,084","41.96","2,700","17.00","43","1.67","208","29.89","2,791","2.78"
"2002","06","아시아","대만","7,894","1.96","7,302","2.57","29","0.18","3","0.12","7","1.01","553","0.55"
"2002","06","아시아","홍콩","12,175","3.02","11,228","3.96","43","0.27","0","0.00","1","0.14","903","0.90"
"2002","06","아시아","필리핀","17,351","4.30","2,734","0.96","275","1.73","52","2.02","6","0.86","14,284","14.21"
"2002","06","아시아","인도네시아","4,858","1.20","2,280","0.80","158","0.99","10","0.39","1","0.14","2,409","2.40"
"2002","06","아시아","태국","6,365","1.58","4,195","1.48","6","0.04","20","0.78","3","0.43","2,141","2.13"
"2002","06","아시아","베트남","2,151","0.53","964","0.34","288","1.81","14","0.54","4","0.57","881","0.88"
"2002","06","아시아","인도","3,921","0.97","1,230","0.43","866","5.45","10","0.39","9","1.29","1,806","1.80"
"2002","06","아시아","말레이시아","3,917","0.97","2,236","0.79","25","0.16","2","0.08","2","0.29","1,652","1.64"
"2002","06","아시아","싱가포르","4,493","1.11","2,906","1.02","28","0.18","1","0.04","3","0.43","1,555","1.55"
"2002","06","아시아","몽골","604","0.15","494","0.17","52","0.33","2","0.08","17","2.44","39","0.04"
"2002","06","아시아","우즈베키스탄","715","0.18","476","0.17","9","0.06","0","0.00","9","1.29","221","0.22"
"2002","06","아시아","미얀마","2,961","0.73","288","0.10","29","0.18","24","0.93","1","0.14","2,619","2.61"
"2002","06","아시아","GCC","273","0.07","192","0.07","43","0.27","24","0.93","2","0.29","12","0.01"
"2002","06","아시아","카자흐스탄","350","0.09","222","0.08","21","0.13","2","0.08","7","1.01","98","0.10"
"2002","06","아시아","터키","3,459","0.86","3,202","1.13","5","0.03","0","0.00","1","0.14","251","0.25"
"2002","06","아시아","캄보디아","68","0.02","17","0.01","26","0.16","16","0.62","1","0.14","8","0.01"
"2002","06","아시아","스리랑카","150","0.04","52","0.02","38","0.24","2","0.08","3","0.43","55","0.05"
"2002","06","아시아","방글라데시","547","0.14","308","0.11","47","0.30","3","0.12","2","0.29","187","0.19"
"2002","06","아시아","파키스탄","446","0.11","120","0.04","182","1.15","3","0.12","8","1.15","133","0.13"
"2002","06","아시아","이스라엘","663","0.16","580","0.20","4","0.03","0","0.00","1","0.14","78","0.08"
"2002","06","아시아","이란","589","0.15","124","0.04","141","0.89","0","0.00","2","0.29","322","0.32"
"2002","06","아시아","아시아 기타","823","0.20","349","0.12","212","1.33","27","1.05","5","0.72","230","0.23"
"2002","06","아시아 소계","","260,855","64.65","195,690","68.95","11,911","74.99","417","16.16","526","75.57","52,311","52.06"
"2002","06","아메리카","미국","44,320","10.98","35,343","12.45","1,867","11.75","2,029","78.64","91","13.07","4,990","4.97"
"2002","06","아메리카","캐나다","5,068","1.26","3,788","1.33","71","0.45","5","0.19","5","0.72","1,199","1.19"
"2002","06","아메리카","브라질","1,741","0.43","1,550","0.55","19","0.12","1","0.04","0","0.00","171","0.17"
"2002","06","아메리카","멕시코","2,836","0.70","2,726","0.96","3","0.02","5","0.19","1","0.14","101","0.10"
"2002","06","아메리카","아메리카 기타","3,567","0.88","3,346","1.18","26","0.16","2","0.08","2","0.29","191","0.19"
"2002","06","아메리카 소계","","57,532","14.26","46,753","16.47","1,986","12.50","2,042","79.15","99","14.22","6,652","6.62"
"2002","06","유럽","러시아","12,271","3.04","4,302","1.52","441","2.78","36","1.40","17","2.44","7,475","7.44"
"2002","06","유럽","영국","7,071","1.75","6,122","2.16","204","1.28","3","0.12","2","0.29","740","0.74"
"2002","06","유럽","독일","5,757","1.43","4,377","1.54","177","1.11","8","0.31","9","1.29","1,186","1.18"
"2002","06","유럽","프랑스","4,026","1.00","3,243","1.14","204","1.28","8","0.31","5","0.72","566","0.56"
"2002","06","유럽","이탈리아","1,866","0.46","1,647","0.58","22","0.14","3","0.12","2","0.29","192","0.19"
"2002","06","유럽","네덜란드","1,486","0.37","982","0.35","40","0.25","0","0.00","3","0.43","461","0.46"
"2002","06","유럽","우크라이나","1,644","0.41","212","0.07","21","0.13","1","0.04","3","0.43","1,407","1.40"
"2002","06","유럽","스페인","1,382","0.34","1,260","0.44","12","0.08","2","0.08","3","0.43","105","0.10"
"2002","06","유럽","루마니아","458","0.11","166","0.06","5","0.03","0","0.00","2","0.29","285","0.28"
"2002","06","유럽","노르웨이","587","0.15","471","0.17","24","0.15","0","0.00","0","0.00","92","0.09"
"2002","06","유럽","스웨덴","851","0.21","708","0.25","37","0.23","5","0.19","0","0.00","101","0.10"
"2002","06","유럽","폴란드","1,950","0.48","1,380","0.49","9","0.06","1","0.04","0","0.00","560","0.56"
"2002","06","유럽","스위스","668","0.17","621","0.22","16","0.10","0","0.00","0","0.00","31","0.03"
"2002","06","유럽","포르투갈","1,887","0.47","1,823","0.64","3","0.02","0","0.00","0","0.00","61","0.06"
